id_x,name,team_id,email,tempo_de_assinatura,historico_de_presenca_nos_jogos,historico_de_socio,numero_de_desistencias_no_periodo,historico_de_preco_nos_planos,tipo_de_plano,quantos_membros,planos_com_ingresso_incluso,estado_civil,risco_de_churn,feedback_sobre_servicos,frequencia_de_compra_de_produtos,created_at_x,updated_at_x,id_y,number,cvc,exp_month,exp_year,customer_id,card_status,stripe_id,created_at_y,updated_at_y
1,Lissette Goldner,1,hoyt@boyer.example,39,71,11,4,134,familiar,4,t,solteiro,medio,3,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,1,4242424242424242,930,2,2034,1,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
2,Royal Pollich,1,carol_wehner@ernser.test,52,60,1,1,219,familiar,3,t,divorciado,alto,1,3,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,2,4000056655699556,337,8,2025,2,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
3,Murray Sawayn,1,lionel_cronin@boehm-gottlieb.example,29,20,4,3,435,individual,4,f,casado,alto,4,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,3,5555555555554444,213,4,2025,3,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
4,Sydney Wehner,1,lyndsey_wolf@crist.test,15,82,8,1,386,individual,4,t,solteiro,baixo,2,10,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,4,2223003122003222,895,5,2025,4,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
5,Johnsie Ritchie,1,odelia_friesen@ratke.example,43,86,3,3,239,individual,1,t,casado,alto,8,2,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,5,5200828282828210,615,4,2025,5,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
6,Lynwood Botsford,1,sasha@shields-ernser.example,87,15,21,5,17,individual,6,t,divorciado,médio,8,7,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,6,5105105105105100,553,9,2032,6,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
7,Mavis Dare,1,bianca.abshire@donnelly-kiehn.example,58,11,2,5,398,familiar,2,f,solteiro,médio,4,9,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,7,4242424242424242,138,1,2025,7,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
8,Michael Flatley,1,rufus_gorczany@kuhn-von.test,30,73,20,5,126,familiar,2,t,divorciado,baixo,3,2,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,8,4000056655699556,271,8,2037,8,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
9,Dr. Tiara Rosenbaum,1,don.parker@romaguera.example,20,16,15,4,130,familiar,6,f,divorciado,médio,4,2,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,9,5555555555554444,227,7,2033,9,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
10,The Hon. Percy Kozey,1,jessenia@hand-heathcote.test,39,74,34,3,29,individual,6,f,casado,baixo,0,7,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,10,2223003122003222,961,8,2032,10,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
