id,number,cvc,exp_month,exp_year,customer_id,card_status,stripe_id,created_at,updated_at
1,4242424242424242,930,2,2034,1,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
2,4000056655699556,337,8,2025,2,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
3,5555555555554444,213,4,2025,3,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
4,2223003122003222,895,5,2025,4,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
5,5200828282828210,615,4,2025,5,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
6,5105105105105100,553,9,2032,6,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
7,4242424242424242,138,1,2025,7,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
8,4000056655699556,271,8,2037,8,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
9,5555555555554444,227,7,2033,9,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
10,2223003122003222,961,8,2032,10,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
11,5200828282828210,862,5,2033,11,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
12,5105105105105100,775,9,2027,12,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
13,4242424242424242,739,10,2028,13,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
14,4000056655699556,374,11,2030,14,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
15,5555555555554444,172,5,2027,15,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
16,2223003122003222,182,9,2037,16,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
17,5200828282828210,656,3,2029,17,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
18,5105105105105100,222,10,2032,18,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
19,4242424242424242,231,7,2032,19,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
20,4000056655699556,616,11,2025,20,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
21,5555555555554444,655,10,2028,21,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
22,2223003122003222,407,9,2038,22,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
23,5200828282828210,655,6,2027,23,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
24,5105105105105100,969,11,2039,24,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
25,4242424242424242,123,1,2036,25,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
26,4000056655699556,349,7,2036,26,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
27,5555555555554444,258,10,2036,27,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
28,2223003122003222,374,9,2031,28,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
29,5200828282828210,906,4,2029,29,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
30,5105105105105100,527,3,2037,30,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
31,4242424242424242,163,9,2038,31,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
32,4000056655699556,672,7,2026,32,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
33,5555555555554444,325,6,2034,33,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
34,2223003122003222,256,11,2028,34,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
35,5200828282828210,938,7,2036,35,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
36,5105105105105100,998,8,2035,36,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
37,4242424242424242,702,5,2025,37,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
38,4000056655699556,412,8,2031,38,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
39,5555555555554444,653,2,2036,39,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
40,2223003122003222,940,5,2031,40,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
41,5200828282828210,933,5,2027,41,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
42,5105105105105100,590,7,2032,42,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
