id,name,team_id,email,tempo_de_assinatura,historico_de_presenca_nos_jogos,historico_de_socio,numero_de_desistencias_no_periodo,historico_de_preco_nos_planos,tipo_de_plano,quantos_membros,planos_com_ingresso_incluso,estado_civil,risco_de_churn,feedback_sobre_servicos,frequencia_de_compra_de_produtos,created_at,updated_at
1,Lissette Goldner,1,hoyt@boyer.example,39,71,11,4,134,familiar,4,t,solteiro,medio,3,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
2,Royal Pollich,1,carol_wehner@ernser.test,52,60,1,1,219,familiar,3,t,divorciado,alto,1,3,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
3,Murray Sawayn,1,lionel_cronin@boehm-gottlieb.example,29,20,4,3,435,individual,4,f,casado,alto,4,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
4,Sydney Wehner,1,lyndsey_wolf@crist.test,15,82,8,1,386,individual,4,t,solteiro,baixo,2,10,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
5,Johnsie Ritchie,1,odelia_friesen@ratke.example,43,86,3,3,239,individual,1,t,casado,alto,8,2,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
6,Lynwood Botsford,1,sasha@shields-ernser.example,87,15,21,5,17,individual,6,t,divorciado,médio,8,7,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
7,Mavis Dare,1,bianca.abshire@donnelly-kiehn.example,58,11,2,5,398,familiar,2,f,solteiro,médio,4,9,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
8,Michael Flatley,1,rufus_gorczany@kuhn-von.test,30,73,20,5,126,familiar,2,t,divorciado,baixo,3,2,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
9,Dr. Tiara Rosenbaum,1,don.parker@romaguera.example,20,16,15,4,130,familiar,6,f,divorciado,médio,4,2,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
10,The Hon. Percy Kozey,1,jessenia@hand-heathcote.test,39,74,34,3,29,individual,6,f,casado,baixo,0,7,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
11,Faustino Gislason,1,cary@corwin.test,22,56,0,7,258,individual,6,t,solteiro,médio,7,6,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
12,Msgr. Nestor Herzog,1,yong_glover@nader.test,71,62,18,0,355,familiar,3,t,divorciado,médio,1,7,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
13,Tracy Bernhard,1,gwenda@shanahan.example,19,41,23,5,325,individual,5,f,divorciado,baixo,10,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
14,Kristel Waelchi CPA,1,cleopatra.feest@gislason.example,56,42,26,8,82,familiar,1,t,divorciado,baixo,10,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
15,Sen. Nathaniel Bartell,1,florencia_willms@huel.example,71,14,6,1,9,familiar,3,f,casado,médio,1,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
