id,name,team_id,email,tempo_de_assinatura,historico_de_presenca_nos_jogos,historico_de_socio,numero_de_desistencias_no_periodo,historico_de_preco_nos_planos,tipo_de_plano,quantos_membros,planos_com_ingresso_incluso,estado_civil,risco_de_churn,feedback_sobre_servicos,frequencia_de_compra_de_produtos,created_at,updated_at
1629,Donn Ratke,1,roy_koss@brakus.test,55,48,4,6,397,individual,1,f,casado,,2,8,2024-02-17 00:32:37 UTC,2024-02-17 00:32:37 UTC
1630,Agustin Shields MD,1,marlon@kling.test,82,54,20,8,85,individual,3,t,casado,,6,5,2024-02-17 00:32:37 UTC,2024-02-17 00:32:37 UTC
1631,Sherley Ryan,1,lorraine_braun@rowe-stroman.example,52,10,32,0,63,familiar,4,t,divorciado,,9,9,2024-02-17 00:32:37 UTC,2024-02-17 00:32:37 UTC
1632,Carlton Borer,1,gladys@cassin.test,16,63,4,9,172,individual,7,t,divorciado,,7,5,2024-02-17 00:32:37 UTC,2024-02-17 00:32:37 UTC
1633,Demetrius Marks,1,sherell@collier.example,73,12,2,1,145,individual,6,f,solteiro,,8,3,2024-02-17 00:32:37 UTC,2024-02-17 00:32:37 UTC
1634,Lola Stehr,1,bernadette@volkman-herzog.example,73,25,24,3,67,familiar,7,t,casado,,5,18,2024-02-17 00:32:37 UTC,2024-02-17 00:32:37 UTC
7,Miss Carey Legros,1,isidro.kozey@thompson.example,39,71,11,4,134,familiar,4,t,solteiro,,3,0,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
8,Deloras Lynch,1,lizette_sawayn@carroll.example,52,60,1,1,219,familiar,3,t,divorciado,,1,3,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
9,Avelina Feeney,1,brain@fritsch.example,29,20,4,3,435,individual,4,f,casado,,4,5,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
10,Vinnie Orn,1,hilario_altenwerth@nikolaus-baumbach.test,15,82,8,1,386,individual,4,t,solteiro,,2,10,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
11,Chastity Nikolaus,1,herbert@paucek-hane.example,43,86,3,3,239,individual,1,t,casado,,8,2,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
12,Delphine Wehner,1,gayla@lehner.test,87,15,21,5,17,individual,6,t,divorciado,,8,7,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
13,Eloise Johnson,1,alden@gibson.test,58,11,2,5,398,familiar,2,f,solteiro,,4,9,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
14,Mrs. Oliver Gulgowski,1,rafael@murphy.example,30,73,20,5,126,familiar,2,t,divorciado,,3,2,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
15,Ramon Osinski,1,maryrose_oconner@padberg-hyatt.test,20,16,15,4,130,familiar,6,f,divorciado,,4,2,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
16,Ada Lynch CPA,1,erasmo.rogahn@vandervort.example,39,74,34,3,29,individual,6,f,casado,,0,7,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
17,Toney Treutel,1,yong@crona-nikolaus.test,22,56,0,7,258,individual,6,t,solteiro,,7,6,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
18,Gregg Waters V,1,sammy.batz@kulas.test,71,62,18,0,355,familiar,3,t,divorciado,,1,7,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
19,Domonique Kessler,1,corrina@grady-weissnat.test,19,41,23,5,325,individual,5,f,divorciado,,10,1,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
20,Hector Zulauf,1,ayako@kessler.test,56,42,26,8,82,familiar,1,t,divorciado,,10,0,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
21,Dewey Hegmann DVM,1,adalberto@daugherty.test,71,14,6,1,9,familiar,3,f,casado,,1,1,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
22,Marilyn Ondricka,1,osvaldo@okuneva.test,87,1,34,2,272,familiar,2,f,divorciado,,4,5,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
23,Jamey Goodwin,1,danilo@conroy.example,9,47,17,2,447,individual,4,f,solteiro,,1,2,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
24,Particia Turner,1,terrilyn.maggio@krajcik.test,61,38,34,3,472,individual,7,f,divorciado,,1,0,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
25,Gov. Stefany Yost,1,era@turner.example,52,66,26,1,132,familiar,5,t,casado,,8,6,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
26,Corrine Parisian,1,macie@oconnell-klocko.example,54,73,30,8,112,individual,6,t,divorciado,,7,8,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
27,Herschel Gulgowski,1,effie@gibson.test,60,45,26,4,93,familiar,5,f,solteiro,,1,1,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
28,Pres. Jose Kihn,1,enola.lind@harvey-macgyver.test,69,11,26,1,114,individual,5,t,solteiro,,3,9,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
29,Rep. Belia Beatty,1,miles_bartoletti@schultz.example,46,30,1,3,23,individual,6,f,solteiro,,2,6,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
30,Fredia Huels,1,adolfo.quigley@farrell.test,52,15,27,6,111,individual,7,t,casado,,7,4,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
31,Marylynn Kutch,1,marquis@strosin-hoeger.test,82,30,34,0,332,familiar,3,f,divorciado,,8,5,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
32,Josh Lind,1,wallace_gutmann@hane.example,62,38,5,2,383,familiar,5,f,casado,,8,18,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
33,Rev. Nelle Will,1,dirk_grimes@thompson-nicolas.test,61,56,31,2,271,individual,7,f,solteiro,,0,8,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
34,Joe Nader DC,1,julian@yundt-glover.example,46,23,8,6,78,individual,4,f,divorciado,,4,9,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
35,Veronika Raynor,1,adrienne@gutmann-labadie.test,72,24,35,8,454,individual,5,f,casado,,4,1,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
36,Romeo Hahn,1,christopher@kreiger-bechtelar.example,52,62,31,0,338,familiar,7,t,solteiro,,8,8,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
37,Tanesha Larson VM,1,bradly_stanton@ullrich-fritsch.example,68,63,20,9,144,individual,4,t,casado,,3,0,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
38,Dorsey Hessel,1,jeffie@bernier-ondricka.test,45,52,23,5,459,individual,7,f,solteiro,,0,0,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
39,Pamula Rath,1,estella@wyman.example,24,74,37,0,178,familiar,2,f,solteiro,,5,0,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
40,Williemae Tremblay DC,1,eleanor@wilkinson.test,14,11,5,1,497,individual,2,f,divorciado,,1,7,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
41,Tommy Blick,1,oscar_anderson@windler-dickinson.example,41,68,3,0,214,familiar,7,t,divorciado,,2,1,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
42,Freddie Bernier,1,mitsue_simonis@heaney-hane.test,81,12,35,2,273,individual,6,f,casado,,10,7,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
43,Dotty Paucek,1,nadia_gerhold@bernier.test,60,39,14,6,161,familiar,4,f,casado,,10,3,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
44,Sadye Graham,1,nam@abshire-stroman.example,69,43,12,2,17,individual,2,t,solteiro,,1,9,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
45,Dierdre Hettinger,1,hong@cruickshank.example,29,73,1,7,398,familiar,6,t,solteiro,,3,3,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
46,Tommy Satterfield,1,floyd_beahan@wuckert-dach.test,61,40,26,9,281,individual,1,t,divorciado,,8,5,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
47,Tyler Gottlieb Sr.,1,hailey@streich-schumm.test,67,15,4,6,378,individual,2,t,divorciado,,9,1,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
48,Ardith DuBuque,1,lady.doyle@kub.test,50,39,24,9,16,familiar,5,f,divorciado,,2,5,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
49,Booker Gusikowski,1,maryellen.hoppe@kuhlman.example,18,66,1,9,424,familiar,3,f,solteiro,,2,5,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
50,Shawnta Gusikowski,1,gaston_reynolds@koch-leannon.test,83,60,25,1,192,individual,3,t,casado,,10,5,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
51,Petra Effertz,1,garfield@frami.example,50,11,26,1,246,individual,7,t,solteiro,,3,4,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
52,Hubert Parker LLD,1,herta_lehner@hoeger.test,27,59,9,8,354,individual,7,t,solteiro,,7,7,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
53,Earnest Emmerich MD,1,angelia@wiza-douglas.example,7,24,1,9,232,individual,2,f,solteiro,,2,5,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
54,Andrew Purdy,1,pamila@luettgen.example,24,64,8,1,48,individual,4,t,divorciado,,5,6,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
55,Jacob Rempel,1,vaughn_konopelski@farrell-buckridge.example,42,56,2,7,250,individual,6,f,solteiro,,0,2,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
56,Curtis Fisher Jr.,1,carrol_nitzsche@mraz.example,85,20,6,7,3,familiar,1,t,casado,,4,5,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
57,Herta West,1,janetta@hilll.example,7,59,28,6,206,individual,3,t,solteiro,,6,0,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
58,Vito Rice,1,natividad_oberbrunner@nicolas.test,77,42,32,6,299,familiar,7,t,divorciado,,5,1,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
59,Deetta Carroll,1,parker.stoltenberg@bayer.example,85,30,29,1,288,familiar,6,f,casado,,2,1,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
60,Pres. Esteban Schulist,1,fritz.koss@terry-jerde.test,80,65,14,8,109,familiar,6,t,divorciado,,1,8,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
61,Dr. Latanya Stokes,1,efrain@gottlieb.test,49,25,32,8,291,familiar,4,t,divorciado,,8,13,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
62,Rosamond Sporer,1,rosina.koepp@upton.example,42,43,20,3,341,familiar,1,t,solteiro,,5,7,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
63,Archie Mante,1,corrie@gleichner.example,18,45,26,6,474,familiar,7,f,casado,,8,8,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
64,Jonathon Adams DDS,1,zachery.koss@cummerata.test,19,38,26,5,51,familiar,3,f,divorciado,,3,1,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
65,Prof. Asuncion Pouros,1,eneida.crist@mckenzie.example,19,30,24,2,79,individual,2,t,solteiro,,5,6,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
66,Lahoma Frami,1,corazon@hand.test,25,15,8,2,25,familiar,3,f,divorciado,,5,0,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
67,Tracey Rempel,1,eric@leannon.test,12,43,37,2,284,familiar,7,t,solteiro,,1,9,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
68,John Hoppe,1,fritz@labadie.test,38,47,17,4,222,individual,7,f,solteiro,,0,3,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
69,Hank Thiel,1,katherin@quigley-zieme.test,77,3,16,2,302,familiar,6,f,casado,,0,2,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
70,Dominique Skiles,1,loriann_stehr@osinski.test,80,30,32,3,361,familiar,2,f,solteiro,,5,1,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
71,Conception Lesch DO,1,brandon_wilderman@cruickshank-roob.test,23,39,26,4,100,familiar,4,t,casado,,6,9,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
72,Daniel Botsford,1,freddie@mosciski-hane.example,79,6,21,4,325,familiar,6,f,divorciado,,3,1,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
73,Rev. Carroll McDermott,1,eddie.hills@okon.test,70,70,3,4,301,familiar,5,t,casado,,4,5,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
